priority,asset_id,asset_name,category,required_output,generation_method,dependencies,assigned_status,review_status,android_status,blocker
Critical,bh_souq_shop_cafe_01,Shop Cafe,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_shop_bakery_01,Shop Bakery,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_shop_souvenir_01,Shop Souvenir,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_awning_01,Awning,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_display_table_01,Display Table,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_crate_set_01,Crate Set,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_covered_passage_01,Covered Passage,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_delivery_door_01,Delivery Door,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_shutter_01,Shutter,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_sign_panel_01,Sign Panel,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_promenade_10m_01,Promenade 10M,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_promenade_20m_01,Promenade 20M,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_curve_15deg_01,Curve 15Deg,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_curve_30deg_01,Curve 30Deg,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_curve_45deg_01,Curve 45Deg,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_marina_edge_01,Marina Edge,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_railing_01,Railing,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_bench_01,Bench,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_palm_planter_01,Palm Planter,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_cafe_terrace_01,Cafe Terrace,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_water_stair_01,Water Stair,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_hotel_dropoff_01,Hotel Dropoff,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_tower_a_01,Tower A,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_tower_b_01,Tower B,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_tower_c_01,Tower C,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_waterfront_skyline_silhouette_01,Skyline Silhouette,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_quarantine_generic_buildings,Inherited generic buildings,third_party_quarantine,source and license evidence,license_research,approved specification|material library,quarantined,license_blocked,blocked,Missing per-asset provenance and archive checksum
Critical,inherited_generic_skyscrapers,Inherited generic skyscrapers,third_party_quarantine,source and license evidence,license_research,approved specification|material library,quarantined,license_blocked,blocked,Missing per-asset provenance and archive checksum
Critical,inherited_generic_cars,Inherited generic cars,third_party_quarantine,source and license evidence,license_research,approved specification|material library,quarantined,license_blocked,blocked,Missing per-asset provenance and archive checksum
Critical,bh_quarantine_palms,Inherited palm meshes,third_party_quarantine,source and license evidence,license_research,approved specification|material library,quarantined,license_blocked,blocked,Missing per-asset provenance and archive checksum
Critical,bh_quarantine_trees,Inherited tree meshes,third_party_quarantine,source and license evidence,license_research,approved specification|material library,quarantined,license_blocked,blocked,Missing per-asset provenance and archive checksum
Critical,bh_quarantine_nature_props,Inherited nature props,third_party_quarantine,source and license evidence,license_research,approved specification|material library,quarantined,license_blocked,blocked,Missing per-asset provenance and archive checksum
Critical,bh_quarantine_roads,Inherited road modules,third_party_quarantine,source and license evidence,license_research,approved specification|material library,quarantined,license_blocked,blocked,Missing per-asset provenance and archive checksum
Critical,inherited_flexible_toon,Inherited Flexible Toon Shader port,third_party_quarantine,source and license evidence,license_research,approved specification|material library,quarantined,license_blocked,blocked,Missing per-asset provenance and archive checksum
Critical,bh_road_complete_modular_kit,Complete road and kerb kit,roads,concept|spec|source|processed|gallery|android evidence,mixed,Batch 01 standards,queued,not_started,not_run,
High,bh_vehicle_civilian_family,Civilian vehicle family,vehicles,concept|spec|source|processed|gallery|android evidence,mixed,Batch 01 standards,queued,not_started,not_run,
High,bh_npc_shared_rig_family,Shared-rig NPC family,characters,concept|spec|source|processed|gallery|android evidence,mixed,Batch 01 standards,queued,not_started,not_run,
Critical,bh_material_master_library,Master material/trim library,materials,concept|spec|source|processed|gallery|android evidence,mixed,Batch 01 standards,queued,not_started,not_run,
High,bh_ui_mobile_control_atlas,Mobile control atlas,ui,concept|spec|source|processed|gallery|android evidence,mixed,Batch 01 standards,queued,not_started,not_run,
High,bh_audio_core_cue_library,Core audio cue library,audio,concept|spec|source|processed|gallery|android evidence,mixed,Batch 01 standards,queued,not_started,not_run,
High,bh_coast_desert_nature,Coast/desert nature set,environment,concept|spec|source|processed|gallery|android evidence,mixed,Batch 01 standards,queued,not_started,not_run,
